577.0,387.0
552.0,570.0
529.0,141.0
449.0,64.0
582.0,350.0
366.0,499.0
99.0,392.0
55.0,149.0
287.0,491.0
351.0,330.0
322.0,319.0
136.0,461.0
608.0,441.0
317.0,229.0
628.0,493.0
549.0,50.0
319.0,161.0
68.0,305.0
642.0,0.0
504.0,220.0
6.0,46.0
480.0,142.0
658.0,375.0
125.0,102.0
105.0,470.0
276.0,272.0
515.0,598.0
219.0,15.0
512.0,140.0
34.0,352.0
614.0,329.0
343.0,542.0
292.0,575.0
670.0,366.0
537.0,460.0
308.0,412.0
426.0,197.0
554.0,491.0
42.0,443.0
660.0,23.0
88.0,47.0
552.0,274.0
364.0,397.0
642.0,193.0
225.0,114.0
529.0,243.0
439.0,526.0
13.0,273.0
389.0,181.0
418.0,296.0
322.0,174.0
73.0,516.0
144.0,80.0
267.0,105.0
485.0,137.0
136.0,532.0
446.0,379.0
112.0,371.0
498.0,53.0
548.0,219.0
570.0,459.0
29.0,263.0
130.0,214.0
428.0,102.0
326.0,126.0
179.0,379.0
450.0,489.0
188.0,574.0
0.0,216.0
140.0,280.0
572.0,19.0
161.0,271.0
402.0,232.0
482.0,200.0
604.0,283.0
145.0,569.0
10.0,169.0
644.0,514.0
496.0,475.0
639.0,541.0
340.0,68.0
619.0,451.0
69.0,97.0
417.0,452.0
90.0,568.0
135.0,143.0
110.0,422.0
692.0,247.0
23.0,71.0
409.0,586.0
329.0,213.0
346.0,599.0
196.0,513.0
415.0,515.0
33.0,465.0
531.0,467.0
658.0,240.0
70.0,64.0
463.0,53.0
673.0,243.0
156.0,94.0
546.0,310.0
283.0,342.0
327.0,528.0
133.0,301.0
467.0,483.0
341.0,360.0
477.0,529.0
502.0,165.0
227.0,226.0
419.0,283.0
159.0,199.0
447.0,66.0
264.0,593.0
250.0,525.0
568.0,224.0
155.0,53.0
255.0,79.0
479.0,87.0
277.0,84.0
298.0,257.0
130.0,58.0
83.0,373.0
366.0,569.0
429.0,83.0
417.0,22.0
